generation,best_fitness,avg_fitness
1,1.000000,0.881375
2,1.000000,0.917625
3,1.000000,0.901563
4,1.000000,0.941688
5,1.000000,0.921562
6,1.000000,0.912750
7,1.000000,0.931000
8,1.000000,0.950375
9,1.000000,0.952313
10,1.000000,0.944250
11,1.000000,0.946375
12,1.000000,0.941625
13,1.000000,0.932125
14,1.000000,0.936688
15,1.000000,0.955125
16,1.000000,0.955063
17,1.000000,0.956500
18,1.000000,0.932562
19,1.000000,0.944875
20,1.000000,0.961375
21,1.000000,0.946875
22,1.000000,0.952062
23,1.000000,0.954625
24,1.000000,0.959437
25,1.000000,0.953625
26,1.000000,0.966187
27,1.000000,0.964750
28,1.000000,0.960187
29,1.000000,0.949875
30,1.000000,0.962375
31,1.000000,0.966437
32,1.000000,0.960875
33,1.000000,0.949188
34,1.000000,0.953063
35,1.000000,0.951375
36,1.000000,0.946125
37,1.000000,0.935062
38,1.000000,0.943812
39,1.000000,0.934312
40,1.000000,0.962437
41,1.000000,0.954938
42,1.000000,0.947125
43,1.000000,0.933125
44,1.000000,0.927000
45,1.000000,0.935312
46,1.000000,0.958625
47,1.000000,0.966500
48,1.000000,0.961313
49,1.000000,0.943250
50,1.000000,0.938062
51,1.000000,0.944875
52,1.000000,0.944687
53,1.000000,0.948000
54,1.000000,0.954625
55,1.000000,0.948625
56,1.000000,0.957062
57,1.000000,0.965437
58,1.000000,0.955687
59,1.000000,0.957125
60,1.000000,0.939063
61,1.000000,0.960000
62,1.000000,0.967312
63,1.000000,0.951562
64,1.000000,0.954375
65,1.000000,0.964500
66,1.000000,0.957187
67,1.000000,0.956188
68,1.000000,0.967250
69,1.000000,0.953500
70,1.000000,0.963187
71,1.000000,0.951625
72,1.000000,0.952375
73,1.000000,0.954250
74,1.000000,0.955000
75,1.000000,0.944687
76,1.000000,0.967375
77,1.000000,0.974062
78,1.000000,0.971562
79,1.000000,0.964438
80,1.000000,0.961625
81,1.000000,0.949750
82,1.000000,0.958812
83,1.000000,0.940062
84,1.000000,0.957187
85,1.000000,0.919937
86,1.000000,0.954562
87,1.000000,0.952187
88,1.000000,0.957750
89,1.000000,0.946438
90,1.000000,0.960750
91,1.000000,0.949500
92,1.000000,0.948813
93,1.000000,0.952187
94,1.000000,0.954187
95,1.000000,0.944438
96,1.000000,0.946313
97,1.000000,0.941125
98,1.000000,0.957188
99,1.000000,0.967187
100,1.000000,0.949687
101,1.000000,0.952187
102,1.000000,0.928687
103,1.000000,0.934062
104,1.000000,0.923313
105,1.000000,0.936125
106,1.000000,0.942562
107,1.000000,0.949500
108,1.000000,0.951000
109,1.000000,0.955063
110,1.000000,0.956938
111,1.000000,0.949125
112,1.000000,0.952500
113,1.000000,0.955063
114,1.000000,0.958437
115,1.000000,0.972562
116,1.000000,0.956438
117,1.000000,0.965937
118,1.000000,0.962875
119,1.000000,0.960000
120,1.000000,0.953312
121,1.000000,0.961188
122,1.000000,0.953375
123,1.000000,0.960313
124,1.000000,0.965875
125,1.000000,0.963937
126,1.000000,0.960500
127,1.000000,0.963812
128,1.000000,0.954125
129,1.000000,0.959875
130,1.000000,0.949937
131,1.000000,0.934625
132,1.000000,0.957687
133,1.000000,0.959750
134,1.000000,0.936375
135,1.000000,0.970562
136,1.000000,0.963875
137,1.000000,0.966625
138,1.000000,0.955063
139,1.000000,0.963812
140,1.000000,0.940875
141,1.000000,0.946375
142,1.000000,0.960812
143,1.000000,0.940188
144,1.000000,0.942000
145,1.000000,0.942687
146,1.000000,0.946562
147,1.000000,0.941062
148,1.000000,0.962500
149,1.000000,0.965812
150,1.000000,0.970375
151,1.000000,0.946812
152,1.000000,0.946313
153,1.000000,0.954562
154,1.000000,0.947438
155,1.000000,0.948438
156,1.000000,0.963688
157,1.000000,0.954437
158,1.000000,0.932438
159,1.000000,0.959250
160,1.000000,0.939937
161,1.000000,0.954625
162,1.000000,0.951500
163,1.000000,0.947938
164,1.000000,0.951125
165,1.000000,0.949563
166,1.000000,0.961313
167,1.000000,0.948750
168,1.000000,0.955125
169,1.000000,0.946187
170,1.000000,0.957125
171,1.000000,0.959625
172,1.000000,0.962187
173,1.000000,0.957437
174,1.000000,0.941000
175,1.000000,0.937375
176,1.000000,0.914563
177,1.000000,0.937688
178,1.000000,0.947375
179,1.000000,0.954688
180,1.000000,0.935875
181,1.000000,0.964500
182,1.000000,0.952000
183,1.000000,0.948187
184,1.000000,0.940938
185,1.000000,0.940813
186,1.000000,0.961938
187,1.000000,0.969375
188,1.000000,0.954375
189,1.000000,0.957375
190,1.000000,0.962500
191,1.000000,0.958187
192,1.000000,0.958250
193,1.000000,0.942937
194,1.000000,0.938500
195,1.000000,0.945000
196,1.000000,0.949687
197,1.000000,0.940000
198,1.000000,0.946438
199,1.000000,0.958187
200,1.000000,0.963062
